micro_theme,macro_theme,macro_label,macro_description
assessment integrity,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"Themes related to academic honesty, detection of AI misuse, ethical concerns, and the redesign of assessments to uphold integrity in the context of generative AI."
assessment integrity and academic honesty,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"Themes related to academic honesty, detection of AI misuse, ethical concerns, and the redesign of assessments to uphold integrity in the context of generative AI."
assessment integrity and detection of undeclared use,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"Themes related to academic honesty, detection of AI misuse, ethical concerns, and the redesign of assessments to uphold integrity in the context of generative AI."
assignment redesign to limit unethical AI use,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"Themes related to academic honesty, detection of AI misuse, ethical concerns, and the redesign of assessments to uphold integrity in the context of generative AI."
call for mandatory student ethics training,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"Themes related to academic honesty, detection of AI misuse, ethical concerns, and the redesign of assessments to uphold integrity in the context of generative AI."
challenges verifying genuine understanding,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"Themes related to academic honesty, detection of AI misuse, ethical concerns, and the redesign of assessments to uphold integrity in the context of generative AI."
difficulty detecting AI use at scale,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"Themes related to academic honesty, detection of AI misuse, ethical concerns, and the redesign of assessments to uphold integrity in the context of generative AI."
ethical declaration and AI plagiarism awareness,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"Themes related to academic honesty, detection of AI misuse, ethical concerns, and the redesign of assessments to uphold integrity in the context of generative AI."
fairness concerns about AI users gaining higher marks,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"Themes related to academic honesty, detection of AI misuse, ethical concerns, and the redesign of assessments to uphold integrity in the context of generative AI."
importance of oral questioning to detect misuse,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"Themes related to academic honesty, detection of AI misuse, ethical concerns, and the redesign of assessments to uphold integrity in the context of generative AI."
oral presentations as an authenticity check,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"Themes related to academic honesty, detection of AI misuse, ethical concerns, and the redesign of assessments to uphold integrity in the context of generative AI."
plagiarism and lack of acknowledgment,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"Themes related to academic honesty, detection of AI misuse, ethical concerns, and the redesign of assessments to uphold integrity in the context of generative AI."
prompt manipulation to game comparisons,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"Themes related to academic honesty, detection of AI misuse, ethical concerns, and the redesign of assessments to uphold integrity in the context of generative AI."
shift toward oral and process-focused assessment,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"Themes related to academic honesty, detection of AI misuse, ethical concerns, and the redesign of assessments to uphold integrity in the context of generative AI."
skepticism about effectiveness of student education alone,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"Themes related to academic honesty, detection of AI misuse, ethical concerns, and the redesign of assessments to uphold integrity in the context of generative AI."
student over-reliance and non-acknowledgement,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"Themes related to academic honesty, detection of AI misuse, ethical concerns, and the redesign of assessments to uphold integrity in the context of generative AI."
student over-reliance on AI in exams,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"Themes related to academic honesty, detection of AI misuse, ethical concerns, and the redesign of assessments to uphold integrity in the context of generative AI."
clarity of institutional policies,policy_guidance_training,"Institutional Policy, Guidance, and Training","Themes addressing the clarity, consistency, and sufficiency of institutional policies, guidelines, and training for both students and staff regarding AI use."
clear institutional guidance and appendices,policy_guidance_training,"Institutional Policy, Guidance, and Training","Themes addressing the clarity, consistency, and sufficiency of institutional policies, guidelines, and training for both students and staff regarding AI use."
cross-institutional differences in AI policy enforcement,policy_guidance_training,"Institutional Policy, Guidance, and Training","Themes addressing the clarity, consistency, and sufficiency of institutional policies, guidelines, and training for both students and staff regarding AI use."
desire for clearer guidance on acceptable extent of AI use,policy_guidance_training,"Institutional Policy, Guidance, and Training","Themes addressing the clarity, consistency, and sufficiency of institutional policies, guidelines, and training for both students and staff regarding AI use."
desire for consistent and faculty-specific AI policies,policy_guidance_training,"Institutional Policy, Guidance, and Training","Themes addressing the clarity, consistency, and sufficiency of institutional policies, guidelines, and training for both students and staff regarding AI use."
desire for more training and lecture-level emphasis,policy_guidance_training,"Institutional Policy, Guidance, and Training","Themes addressing the clarity, consistency, and sufficiency of institutional policies, guidelines, and training for both students and staff regarding AI use."
desire for staff access to paid AI tools,policy_guidance_training,"Institutional Policy, Guidance, and Training","Themes addressing the clarity, consistency, and sufficiency of institutional policies, guidelines, and training for both students and staff regarding AI use."
desire for task-specific in-class guidance,policy_guidance_training,"Institutional Policy, Guidance, and Training","Themes addressing the clarity, consistency, and sufficiency of institutional policies, guidelines, and training for both students and staff regarding AI use."
desire for university-provided examples and resources,policy_guidance_training,"Institutional Policy, Guidance, and Training","Themes addressing the clarity, consistency, and sufficiency of institutional policies, guidelines, and training for both students and staff regarding AI use."
institutional AI infrastructure and governance,policy_guidance_training,"Institutional Policy, Guidance, and Training","Themes addressing the clarity, consistency, and sufficiency of institutional policies, guidelines, and training for both students and staff regarding AI use."
institutional guidelines and disclaimers,policy_guidance_training,"Institutional Policy, Guidance, and Training","Themes addressing the clarity, consistency, and sufficiency of institutional policies, guidelines, and training for both students and staff regarding AI use."
insufficient institutional training and resources,policy_guidance_training,"Institutional Policy, Guidance, and Training","Themes addressing the clarity, consistency, and sufficiency of institutional policies, guidelines, and training for both students and staff regarding AI use."
insufficient staff training on ethical AI use,policy_guidance_training,"Institutional Policy, Guidance, and Training","Themes addressing the clarity, consistency, and sufficiency of institutional policies, guidelines, and training for both students and staff regarding AI use."
lack of institutional guidelines and training,policy_guidance_training,"Institutional Policy, Guidance, and Training","Themes addressing the clarity, consistency, and sufficiency of institutional policies, guidelines, and training for both students and staff regarding AI use."
limited ethical guideline effectiveness,policy_guidance_training,"Institutional Policy, Guidance, and Training","Themes addressing the clarity, consistency, and sufficiency of institutional policies, guidelines, and training for both students and staff regarding AI use."
need for AI-use disclosure and transparency,policy_guidance_training,"Institutional Policy, Guidance, and Training","Themes addressing the clarity, consistency, and sufficiency of institutional policies, guidelines, and training for both students and staff regarding AI use."
need for clearer AI use and plagiarism guidelines,policy_guidance_training,"Institutional Policy, Guidance, and Training","Themes addressing the clarity, consistency, and sufficiency of institutional policies, guidelines, and training for both students and staff regarding AI use."
need for clearer guidelines and procedures,policy_guidance_training,"Institutional Policy, Guidance, and Training","Themes addressing the clarity, consistency, and sufficiency of institutional policies, guidelines, and training for both students and staff regarding AI use."
need for clearer purpose of AI integration,policy_guidance_training,"Institutional Policy, Guidance, and Training","Themes addressing the clarity, consistency, and sufficiency of institutional policies, guidelines, and training for both students and staff regarding AI use."
"need for controlled, course-specific AI tools",policy_guidance_training,"Institutional Policy, Guidance, and Training","Themes addressing the clarity, consistency, and sufficiency of institutional policies, guidelines, and training for both students and staff regarding AI use."
need for explicit AI guidelines and expectations,policy_guidance_training,"Institutional Policy, Guidance, and Training","Themes addressing the clarity, consistency, and sufficiency of institutional policies, guidelines, and training for both students and staff regarding AI use."
need for formal tutor training and institutional guidelines,policy_guidance_training,"Institutional Policy, Guidance, and Training","Themes addressing the clarity, consistency, and sufficiency of institutional policies, guidelines, and training for both students and staff regarding AI use."
need for practical ethical guidance and workshops,policy_guidance_training,"Institutional Policy, Guidance, and Training","Themes addressing the clarity, consistency, and sufficiency of institutional policies, guidelines, and training for both students and staff regarding AI use."
need for staff training and practical workshops,policy_guidance_training,"Institutional Policy, Guidance, and Training","Themes addressing the clarity, consistency, and sufficiency of institutional policies, guidelines, and training for both students and staff regarding AI use."
need for staff training on AI tools,policy_guidance_training,"Institutional Policy, Guidance, and Training","Themes addressing the clarity, consistency, and sufficiency of institutional policies, guidelines, and training for both students and staff regarding AI use."
professional development and staff training on GenAI,policy_guidance_training,"Institutional Policy, Guidance, and Training","Themes addressing the clarity, consistency, and sufficiency of institutional policies, guidelines, and training for both students and staff regarding AI use."
refinement of GenAI declaration templates and prompts,policy_guidance_training,"Institutional Policy, Guidance, and Training","Themes addressing the clarity, consistency, and sufficiency of institutional policies, guidelines, and training for both students and staff regarding AI use."
"tool-specific policy awareness (Copilot allowed, others restricted)",policy_guidance_training,"Institutional Policy, Guidance, and Training","Themes addressing the clarity, consistency, and sufficiency of institutional policies, guidelines, and training for both students and staff regarding AI use."
increased engagement through AI activities,student_engagement_motivation,"Student Engagement, Motivation, and Attitudes","Themes exploring how students engage with AI, their motivation, attitudes, and the impact of AI-integrated activities on their learning experience."
mixed feelings about learning benefits,student_engagement_motivation,"Student Engagement, Motivation, and Attitudes","Themes exploring how students engage with AI, their motivation, attitudes, and the impact of AI-integrated activities on their learning experience."
mixed levels of student critical evaluation,student_engagement_motivation,"Student Engagement, Motivation, and Attitudes","Themes exploring how students engage with AI, their motivation, attitudes, and the impact of AI-integrated activities on their learning experience."
positive impact on engagement when scaffolded,student_engagement_motivation,"Student Engagement, Motivation, and Attitudes","Themes exploring how students engage with AI, their motivation, attitudes, and the impact of AI-integrated activities on their learning experience."
preference for traditional learning methods,student_engagement_motivation,"Student Engagement, Motivation, and Attitudes","Themes exploring how students engage with AI, their motivation, attitudes, and the impact of AI-integrated activities on their learning experience."
student engagement and boredom with current ethics activities,student_engagement_motivation,"Student Engagement, Motivation, and Attitudes","Themes exploring how students engage with AI, their motivation, attitudes, and the impact of AI-integrated activities on their learning experience."
student engagement and motivation only moderate,student_engagement_motivation,"Student Engagement, Motivation, and Attitudes","Themes exploring how students engage with AI, their motivation, attitudes, and the impact of AI-integrated activities on their learning experience."
variation in student engagement and attitudes,student_engagement_motivation,"Student Engagement, Motivation, and Attitudes","Themes exploring how students engage with AI, their motivation, attitudes, and the impact of AI-integrated activities on their learning experience."
AI as a comparative tool after completing own work,ai_as_learning_tool,AI as a Learning and Comparative Tool,"Themes focusing on the use of AI to support learning, provide feedback, generate ideas, and serve as a comparative or reflective tool in coursework."
AI-supported teaching preparation and feedback,ai_as_learning_tool,AI as a Learning and Comparative Tool,"Themes focusing on the use of AI to support learning, provide feedback, generate ideas, and serve as a comparative or reflective tool in coursework."
cautious use for feedback and ideas,ai_as_learning_tool,AI as a Learning and Comparative Tool,"Themes focusing on the use of AI to support learning, provide feedback, generate ideas, and serve as a comparative or reflective tool in coursework."
clear separation between AI support and own thinking,ai_as_learning_tool,AI as a Learning and Comparative Tool,"Themes focusing on the use of AI to support learning, provide feedback, generate ideas, and serve as a comparative or reflective tool in coursework."
integration of AI into coursework as a comparative tool,ai_as_learning_tool,AI as a Learning and Comparative Tool,"Themes focusing on the use of AI to support learning, provide feedback, generate ideas, and serve as a comparative or reflective tool in coursework."
use as a tool not a replacement,ai_as_learning_tool,AI as a Learning and Comparative Tool,"Themes focusing on the use of AI to support learning, provide feedback, generate ideas, and serve as a comparative or reflective tool in coursework."
use of AI for engagement and idea generation,ai_as_learning_tool,AI as a Learning and Comparative Tool,"Themes focusing on the use of AI to support learning, provide feedback, generate ideas, and serve as a comparative or reflective tool in coursework."
use of AI for summarising and clarifying complex material,ai_as_learning_tool,AI as a Learning and Comparative Tool,"Themes focusing on the use of AI to support learning, provide feedback, generate ideas, and serve as a comparative or reflective tool in coursework."
value of AI-integrated activities for comparison and reflection,ai_as_learning_tool,AI as a Learning and Comparative Tool,"Themes focusing on the use of AI to support learning, provide feedback, generate ideas, and serve as a comparative or reflective tool in coursework."
value of structured AI-comparison tasks for learning,ai_as_learning_tool,AI as a Learning and Comparative Tool,"Themes focusing on the use of AI to support learning, provide feedback, generate ideas, and serve as a comparative or reflective tool in coursework."
case-by-case critical evaluation,critical_evaluation_reflection,Critical Evaluation and Reflective Practice,"Themes emphasizing the importance of developing students’ critical evaluation of AI outputs, structured reflection, and evaluative judgment in the context of AI use."
developing students’ critical evaluation of AI outputs,critical_evaluation_reflection,Critical Evaluation and Reflective Practice,"Themes emphasizing the importance of developing students’ critical evaluation of AI outputs, structured reflection, and evaluative judgment in the context of AI use."
importance of reflective reporting on AI use,critical_evaluation_reflection,Critical Evaluation and Reflective Practice,"Themes emphasizing the importance of developing students’ critical evaluation of AI outputs, structured reflection, and evaluative judgment in the context of AI use."
marking incentives for critical evaluation,critical_evaluation_reflection,Critical Evaluation and Reflective Practice,"Themes emphasizing the importance of developing students’ critical evaluation of AI outputs, structured reflection, and evaluative judgment in the context of AI use."
structured reflection and evaluative judgment,critical_evaluation_reflection,Critical Evaluation and Reflective Practice,"Themes emphasizing the importance of developing students’ critical evaluation of AI outputs, structured reflection, and evaluative judgment in the context of AI use."
systematic cross-checking and handling hallucinations,critical_evaluation_reflection,Critical Evaluation and Reflective Practice,"Themes emphasizing the importance of developing students’ critical evaluation of AI outputs, structured reflection, and evaluative judgment in the context of AI use."
systematic verification of AI outputs,critical_evaluation_reflection,Critical Evaluation and Reflective Practice,"Themes emphasizing the importance of developing students’ critical evaluation of AI outputs, structured reflection, and evaluative judgment in the context of AI use."
systematic verification of statistics and sources,critical_evaluation_reflection,Critical Evaluation and Reflective Practice,"Themes emphasizing the importance of developing students’ critical evaluation of AI outputs, structured reflection, and evaluative judgment in the context of AI use."
time-consuming but deliberate verification and cross-referencing,critical_evaluation_reflection,Critical Evaluation and Reflective Practice,"Themes emphasizing the importance of developing students’ critical evaluation of AI outputs, structured reflection, and evaluative judgment in the context of AI use."
trust in AI for learning but not for final judgment,critical_evaluation_reflection,Critical Evaluation and Reflective Practice,"Themes emphasizing the importance of developing students’ critical evaluation of AI outputs, structured reflection, and evaluative judgment in the context of AI use."
weak critical evaluation and reflection,critical_evaluation_reflection,Critical Evaluation and Reflective Practice,"Themes emphasizing the importance of developing students’ critical evaluation of AI outputs, structured reflection, and evaluative judgment in the context of AI use."
concerns about AI accuracy and trust,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability","Themes concerning the accuracy, trustworthiness, and limitations of AI outputs, including issues of hallucination, over-reliance, and the need for verification."
concerns about accuracy,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability","Themes concerning the accuracy, trustworthiness, and limitations of AI outputs, including issues of hallucination, over-reliance, and the need for verification."
concerns about accuracy and hallucinations,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability","Themes concerning the accuracy, trustworthiness, and limitations of AI outputs, including issues of hallucination, over-reliance, and the need for verification."
limitations and inaccuracy of AI outputs,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability","Themes concerning the accuracy, trustworthiness, and limitations of AI outputs, including issues of hallucination, over-reliance, and the need for verification."
over-reliance risk and loss of independent problem solving,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability","Themes concerning the accuracy, trustworthiness, and limitations of AI outputs, including issues of hallucination, over-reliance, and the need for verification."
over-reliance risk and student laziness,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability","Themes concerning the accuracy, trustworthiness, and limitations of AI outputs, including issues of hallucination, over-reliance, and the need for verification."
over-reliance risk in group work,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability","Themes concerning the accuracy, trustworthiness, and limitations of AI outputs, including issues of hallucination, over-reliance, and the need for verification."
student over-reliance,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability","Themes concerning the accuracy, trustworthiness, and limitations of AI outputs, including issues of hallucination, over-reliance, and the need for verification."
student over-reliance and reduced effort,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability","Themes concerning the accuracy, trustworthiness, and limitations of AI outputs, including issues of hallucination, over-reliance, and the need for verification."
student over-reliance on AI outputs,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability","Themes concerning the accuracy, trustworthiness, and limitations of AI outputs, including issues of hallucination, over-reliance, and the need for verification."
student over-reliance on GenAI,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability","Themes concerning the accuracy, trustworthiness, and limitations of AI outputs, including issues of hallucination, over-reliance, and the need for verification."
superficial AI use and inaccurate outputs,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability","Themes concerning the accuracy, trustworthiness, and limitations of AI outputs, including issues of hallucination, over-reliance, and the need for verification."
surface-level understanding versus deep learning,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability","Themes concerning the accuracy, trustworthiness, and limitations of AI outputs, including issues of hallucination, over-reliance, and the need for verification."
uncertainty about actual learning gains,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability","Themes concerning the accuracy, trustworthiness, and limitations of AI outputs, including issues of hallucination, over-reliance, and the need for verification."
degree-specific strengths and weaknesses of AI,assessment_design_innovation,Assessment Design and Innovation,"Themes related to the redesign and innovation of assessments to accommodate or leverage AI, including new formats, process-focused tasks, and degree-specific considerations."
designing assessments beyond simple text generation,assessment_design_innovation,Assessment Design and Innovation,"Themes related to the redesign and innovation of assessments to accommodate or leverage AI, including new formats, process-focused tasks, and degree-specific considerations."
no clear improvement in assessment performance,assessment_design_innovation,Assessment Design and Innovation,"Themes related to the redesign and innovation of assessments to accommodate or leverage AI, including new formats, process-focused tasks, and degree-specific considerations."
performance gains for motivated students,assessment_design_innovation,Assessment Design and Innovation,"Themes related to the redesign and innovation of assessments to accommodate or leverage AI, including new formats, process-focused tasks, and degree-specific considerations."
positive impact of subject design on ethical AI use,assessment_design_innovation,Assessment Design and Innovation,"Themes related to the redesign and innovation of assessments to accommodate or leverage AI, including new formats, process-focused tasks, and degree-specific considerations."
prompt quality and sensitivity as a core challenge,assessment_design_innovation,Assessment Design and Innovation,"Themes related to the redesign and innovation of assessments to accommodate or leverage AI, including new formats, process-focused tasks, and degree-specific considerations."
agentic and semi-restricted use of GenAI,staff_experience_professional_use,Staff Experience and Professional Use of AI,"Themes highlighting tutors’ and staff’s own use of AI, their literacy, collaboration, workload, and attitudes toward integrating AI into their professional practice."
groundwork and efficiency,staff_experience_professional_use,Staff Experience and Professional Use of AI,"Themes highlighting tutors’ and staff’s own use of AI, their literacy, collaboration, workload, and attitudes toward integrating AI into their professional practice."
high tutor AI literacy,staff_experience_professional_use,Staff Experience and Professional Use of AI,"Themes highlighting tutors’ and staff’s own use of AI, their literacy, collaboration, workload, and attitudes toward integrating AI into their professional practice."
high tutor AI literacy and daily professional use,staff_experience_professional_use,Staff Experience and Professional Use of AI,"Themes highlighting tutors’ and staff’s own use of AI, their literacy, collaboration, workload, and attitudes toward integrating AI into their professional practice."
preference for ChatGPT over Copilot,staff_experience_professional_use,Staff Experience and Professional Use of AI,"Themes highlighting tutors’ and staff’s own use of AI, their literacy, collaboration, workload, and attitudes toward integrating AI into their professional practice."
tutor collaboration and shared resources on GenAI,staff_experience_professional_use,Staff Experience and Professional Use of AI,"Themes highlighting tutors’ and staff’s own use of AI, their literacy, collaboration, workload, and attitudes toward integrating AI into their professional practice."
tutor reluctance to use AI for feedback,staff_experience_professional_use,Staff Experience and Professional Use of AI,"Themes highlighting tutors’ and staff’s own use of AI, their literacy, collaboration, workload, and attitudes toward integrating AI into their professional practice."
tutor use of AI for feedback and preparation,staff_experience_professional_use,Staff Experience and Professional Use of AI,"Themes highlighting tutors’ and staff’s own use of AI, their literacy, collaboration, workload, and attitudes toward integrating AI into their professional practice."
tutor workload and time constraints,staff_experience_professional_use,Staff Experience and Professional Use of AI,"Themes highlighting tutors’ and staff’s own use of AI, their literacy, collaboration, workload, and attitudes toward integrating AI into their professional practice."
speed and efficiency,staff_experience_professional_use,Staff Experience and Professional Use of AI,"Themes highlighting tutors’ and staff’s own use of AI, their literacy, collaboration, workload, and attitudes toward integrating AI into their professional practice."
